title,company,city,country,location,skills,type,salary,salary_min,salary_max,published,ai
Lead Data Scientist,Blend360,,UK,", UK","Machine Learning,Python,NLP,R,Data Science,Data Engineer,Computer Vision,Predictive Modelling,Model Optimization,Deployment,Product Development",Full Time,,0,0,2024-10-21T22:18:04.244Z,True
Sustainability Data Analyst,AECOM,Dublin,Ireland,"Dublin, Ireland","QA,Data Science,Data Collection,AD,Infrastructure,Power BI",Full Time,,0,0,2024-10-21T22:17:46.949Z,True
Senior Data Scientist,Uncommon Schools,"New York, NY",USA,"New York, NY, USA","Machine Learning,NLP,LLMs,Generative AI,Sentiment Analysis,Data Science,Data Analysis,Text Generation,Research,Architecture,Quantitative",Full Time,$104800-$123300 annually,104800,123300,2024-10-21T22:17:41.339Z,True
Lead Data Engineer,Blend360,"Columbia, MO",USA,"Columbia, MO, USA","SQL,Hadoop,Agile,API,CICD,AWS,GCP,Azure,Git,Data Science,Data Engineer,PySpark,Dask,Architecture,Distributed Systems,SnowFlake,DynamoDB",Full Time,,0,0,2024-10-21T22:17:22.441Z,True
Lead Data Scientist,Blend360,Montevideo,Uruguay,"Montevideo, Uruguay","Testing,Python,SQL,Cloud,AWS,GCP,Data Science,Data Analysis,Jupyter Notebook,Quantitative,Gaming,Statistics,Mathematics",Full Time,,0,0,2024-10-21T22:16:03.01Z,True
Senior Data Engineer proficient in Python,Endava,,Colombia,", Colombia","Machine Learning,Python,SQL,Hadoop,Cloud,Agile,Scripting,Kafka,Data Science,Data Engineer,Big Data,Data Architect,Data Infrastructure,Architecture,Security,Deployment,Transformation,SnowFlake,Flow,Servers,RedShift,BigQuery",Full Time,,0,0,2024-10-21T22:15:56.981Z,True
Senior Data Engineer proficient in Python,Endava,,Colombia,", Colombia","Machine Learning,Python,SQL,Hadoop,Cloud,Agile,Scripting,Kafka,Data Science,Data Engineer,Big Data,Data Architect,Data Infrastructure,Architecture,Security,Deployment,Transformation,SnowFlake,Flow,Servers,RedShift,BigQuery",Full Time,,0,0,2024-10-21T22:15:49.782Z,True
Senior Data Engineer proficient in Python,Endava,Bogota,Colombia,"Bogota, Colombia","Machine Learning,Python,SQL,Hadoop,Cloud,Agile,Scripting,Kafka,Data Science,Data Engineer,Big Data,Data Architect,Data Infrastructure,Architecture,Security,Deployment,Transformation,SnowFlake,Flow,Servers,RedShift,BigQuery",Full Time,,0,0,2024-10-21T22:15:44.577Z,True
IT / Web Scrapping / QA Tester Internship / A.I. Automation - WFH/Remote Work,Seeka Technology,Petaling Jaya,Malaysia,"Petaling Jaya, Malaysia","Machine Learning,Full Stack,Python,SQL,NLP,Cloud,Java,HTML,QA,Devops,Data Science,Deep Learning,Pycharm,Research,Automation,Project Management,Jira",Intern,,0,0,2024-10-21T22:14:08.34Z,True
Manager -Data Science & AI for Operations,Renesas Electronics,Bayan Lepas,Malaysia,"Bayan Lepas, Malaysia","Machine Learning,Python,Cloud,Agile,CICD,AWS,Kubernetes,Docker,GCP,GitLab,Devops,Data Science,Data Analysis,DataBricks,Azure Databricks,Computer Science,Security,Infrastructure,Deployment,Open Source,UX,Jira,Power BI",Full Time,,0,0,2024-10-21T22:14:02.883Z,True
