title,company,city,country,location,skills,type,salary,salary_min,salary_max,published,ai
Associate Machine Learning Engineer (100% remote-friendly within Poland) ,DocPlanner,Warsaw,Poland,"Warsaw, Poland","Machine Learning,Python,LLMs,Tensorflow,PyTorch,ML Ops,Prompt Engineering,Embeddings,AWS,Kubernetes,Apache,Whisper,Data Science,Deep Learning,Information Retrieval,ML Scientist,RAG,Research,IOS,Product Management,Reliability,Airflow",Full Time,,0,0,2025-07-28T22:01:18.809681Z,True
Associate Machine Learning Engineer (100% remote-friendly within Spain) ,DocPlanner,Barcelona,Spain,"Barcelona, Spain","Machine Learning,Python,LLMs,Tensorflow,PyTorch,ML Ops,Prompt Engineering,Embeddings,AWS,Kubernetes,Apache,Whisper,Data Science,Deep Learning,Information Retrieval,ML Scientist,RAG,Research,IOS,Product Management,Reliability,Airflow",Full Time,,0,0,2025-07-28T22:01:15.450946Z,True
Senior Data Scientist - Machine learning,Palo Alto Networks,Tel Aviv Yafo,,"Tel Aviv Yafo, ","Machine Learning,Python,GCP,Data Science,Data Analysis,Big Data,Recommender Systems,Research,IOS,Computer Science,Security,Statistics",Full Time,,0,0,2025-07-28T22:00:52.287595Z,True
Screening Platform &amp; Filter Sr Data Scientist,PayPal,"Scottsdale, AZ",USA,"Scottsdale, AZ, USA","Python,SQL,Cloud,Pandas,GCP,Tableau,R,Data Science,NumPy,PySpark,IOS,Security,Power BI,BigQuery",Full Time,,0,0,2025-07-28T20:09:57.911033Z,True
"Senior Software Engineer, Aerial - Performance",NVIDIA,"Santa Clara, CA",USA,"Santa Clara, CA, USA","Testing,Python,C++,CICD,Data Science,Architecture,Debugging,Software Design,FirmWare",Full Time,,0,0,2025-07-28T20:04:43.795343Z,True
Big Data Solutions Architect,Databricks,,Germany,", Germany","Python,ML Ops,Cloud,CICD,AWS,GCP,Azure,SCALA,Data Science,Data Engineer,Big Data,Data Architect,DataBricks,Architecture,Deployment,SnowFlake",,,0,0,2025-07-28T18:01:43.80827Z,True
AI Engineer (Forward Deployed Engineer),Databricks,California,,"California, ","Machine Learning,PyTorch,Pandas,HuggingFace,Langchain,Scikit-learn,AWS,GCP,Azure,Data Science,DataBricks,RAG,IOS,Computer Science,Operations Research,SME,Quantitative,Statistics",Remote,,0,0,2025-07-28T18:01:39.628872Z,True
Sr. Solutions Engineer (Taiwan),Databricks,,Singapore,", Singapore","Python,Cloud,Java,SCALA,Data Science,Big Data,DataBricks,Architecture",,,0,0,2025-07-28T18:01:34.579876Z,True
Principal Engineer Software (AI Security Cloud),Palo Alto Networks,"Santa Clara, CA",USA,"Santa Clara, CA, USA","Python,LLMs,Cloud,GO,QA,GCP,Devops,Data Science,Computer Science,Security,Infrastructure,Product Management,Product Development,HTTP",Full Time,$147000-$237500 annually,147000,237500,2025-07-27T22:00:24.308Z,True
Sr Staff Engineer Software (AI Security Cloud),Palo Alto Networks,"Santa Clara, CA",USA,"Santa Clara, CA, USA","Python,LLMs,Cloud,GO,QA,GCP,Devops,Data Science,Computer Science,Security,Infrastructure,Product Management,Product Development,HTTP",Full Time,$126000-$204500 annually,126000,204500,2025-07-27T22:00:18.3Z,True
"VP, Product Management",Coursera,,USA,", USA","Data Science,Data Engineer,Computer Science,Product Management,Product Development,UX,Project Management,Mathematics,JSON","Remote,Full Time","$275,000 - $325,000 annually",275000,325000,2025-07-27T13:40:05.109Z,True
Engineering Manager - Content Management Team ,Coursera,,Canada,", Canada","Frontend,Full Stack,Backend,Generative AI,Java,TypeScript,Prompt Engineering,API,GraphQL,SCALA,React,Data Science,OpenAI,Computer Science,Architecture,Infrastructure,Product Management,Product Development,Distributed Systems,Product Design,UX,Mathematics,JSON","Remote,Full Time",,0,0,2025-07-27T13:40:01.152Z,True
"Engineering Manager, AI & ML",PitchBook Data,New York,United States,"New York, United States","Machine Learning,Python,SQL,NLP,LLMs,Generative AI,ML Ops,Cloud,Transformers,Semantic Search,Agile,Kubernetes,Docker,Kafka,Apache,Data Science,Data Collection,Data Architect,Data Governance,Research,IOS,Computer Science,Architecture,Security,Product Management,Deployment,Reliability,UX,SnowFlake,Mathematics,Airflow,JSON",Full Time,"$240,000-$300,000 annually.",240000,300000,2025-07-27T12:18:58.215Z,True
